file_name,class
t_000,갈취 대화
t_001,직장 내 괴롭힘 대화
t_002,직장 내 괴롭힘 대화
t_003,기타 괴롭힘 대화
t_004,기타 괴롭힘 대화
t_005,협박 대화
t_006,협박 대화
t_007,기타 괴롭힘 대화
t_008,직장 내 괴롭힘 대화
t_009,갈취 대화
t_010,협박 대화
t_011,기타 괴롭힘 대화
t_012,직장 내 괴롭힘 대화
t_013,직장 내 괴롭힘 대화
t_014,직장 내 괴롭힘 대화
t_015,협박 대화
t_016,협박 대화
t_017,기타 괴롭힘 대화
t_018,협박 대화
t_019,기타 괴롭힘 대화
t_020,협박 대화
t_021,기타 괴롭힘 대화
t_022,기타 괴롭힘 대화
t_023,갈취 대화
t_024,갈취 대화
t_025,직장 내 괴롭힘 대화
t_026,갈취 대화
t_027,기타 괴롭힘 대화
t_028,직장 내 괴롭힘 대화
t_029,갈취 대화
t_030,갈취 대화
t_031,협박 대화
t_032,기타 괴롭힘 대화
t_033,직장 내 괴롭힘 대화
t_034,협박 대화
t_035,기타 괴롭힘 대화
t_036,기타 괴롭힘 대화
t_037,갈취 대화
t_038,협박 대화
t_039,갈취 대화
t_040,기타 괴롭힘 대화
t_041,갈취 대화
t_042,갈취 대화
t_043,갈취 대화
t_044,기타 괴롭힘 대화
t_045,직장 내 괴롭힘 대화
t_046,협박 대화
t_047,기타 괴롭힘 대화
t_048,기타 괴롭힘 대화
t_049,협박 대화
t_050,갈취 대화
t_051,기타 괴롭힘 대화
t_052,갈취 대화
t_053,직장 내 괴롭힘 대화
t_054,직장 내 괴롭힘 대화
t_055,기타 괴롭힘 대화
t_056,기타 괴롭힘 대화
t_057,기타 괴롭힘 대화
t_058,기타 괴롭힘 대화
t_059,기타 괴롭힘 대화
t_060,갈취 대화
t_061,협박 대화
t_062,협박 대화
t_063,기타 괴롭힘 대화
t_064,직장 내 괴롭힘 대화
t_065,협박 대화
t_066,기타 괴롭힘 대화
t_067,기타 괴롭힘 대화
t_068,협박 대화
t_069,갈취 대화
t_070,기타 괴롭힘 대화
t_071,직장 내 괴롭힘 대화
t_072,기타 괴롭힘 대화
t_073,직장 내 괴롭힘 대화
t_074,협박 대화
t_075,직장 내 괴롭힘 대화
t_076,직장 내 괴롭힘 대화
t_077,기타 괴롭힘 대화
t_078,직장 내 괴롭힘 대화
t_079,기타 괴롭힘 대화
t_080,갈취 대화
t_081,협박 대화
t_082,협박 대화
t_083,협박 대화
t_084,기타 괴롭힘 대화
t_085,직장 내 괴롭힘 대화
t_086,갈취 대화
t_087,기타 괴롭힘 대화
t_088,갈취 대화
t_089,직장 내 괴롭힘 대화
t_090,협박 대화
t_091,직장 내 괴롭힘 대화
t_092,협박 대화
t_093,기타 괴롭힘 대화
t_094,기타 괴롭힘 대화
t_095,직장 내 괴롭힘 대화
t_096,갈취 대화
t_097,기타 괴롭힘 대화
t_098,협박 대화
t_099,협박 대화
t_100,갈취 대화
t_101,갈취 대화
t_102,기타 괴롭힘 대화
t_103,협박 대화
t_104,기타 괴롭힘 대화
t_105,직장 내 괴롭힘 대화
t_106,직장 내 괴롭힘 대화
t_107,기타 괴롭힘 대화
t_108,기타 괴롭힘 대화
t_109,협박 대화
t_110,갈취 대화
t_111,협박 대화
t_112,협박 대화
t_113,직장 내 괴롭힘 대화
t_114,갈취 대화
t_115,갈취 대화
t_116,기타 괴롭힘 대화
t_117,직장 내 괴롭힘 대화
t_118,직장 내 괴롭힘 대화
t_119,갈취 대화
t_120,직장 내 괴롭힘 대화
t_121,갈취 대화
t_122,갈취 대화
t_123,갈취 대화
t_124,갈취 대화
t_125,갈취 대화
t_126,직장 내 괴롭힘 대화
t_127,갈취 대화
t_128,갈취 대화
t_129,기타 괴롭힘 대화
t_130,기타 괴롭힘 대화
t_131,기타 괴롭힘 대화
t_132,직장 내 괴롭힘 대화
t_133,기타 괴롭힘 대화
t_134,갈취 대화
t_135,협박 대화
t_136,기타 괴롭힘 대화
t_137,협박 대화
t_138,기타 괴롭힘 대화
t_139,기타 괴롭힘 대화
t_140,기타 괴롭힘 대화
t_141,기타 괴롭힘 대화
t_142,갈취 대화
t_143,기타 괴롭힘 대화
t_144,직장 내 괴롭힘 대화
t_145,협박 대화
t_146,협박 대화
t_147,협박 대화
t_148,기타 괴롭힘 대화
t_149,갈취 대화
t_150,협박 대화
t_151,기타 괴롭힘 대화
t_152,협박 대화
t_153,갈취 대화
t_154,직장 내 괴롭힘 대화
t_155,기타 괴롭힘 대화
t_156,협박 대화
t_157,직장 내 괴롭힘 대화
t_158,기타 괴롭힘 대화
t_159,기타 괴롭힘 대화
t_160,협박 대화
t_161,기타 괴롭힘 대화
t_162,직장 내 괴롭힘 대화
t_163,협박 대화
t_164,기타 괴롭힘 대화
t_165,기타 괴롭힘 대화
t_166,직장 내 괴롭힘 대화
t_167,기타 괴롭힘 대화
t_168,기타 괴롭힘 대화
t_169,갈취 대화
t_170,협박 대화
t_171,직장 내 괴롭힘 대화
t_172,직장 내 괴롭힘 대화
t_173,기타 괴롭힘 대화
t_174,기타 괴롭힘 대화
t_175,기타 괴롭힘 대화
t_176,협박 대화
t_177,직장 내 괴롭힘 대화
t_178,갈취 대화
t_179,기타 괴롭힘 대화
t_180,직장 내 괴롭힘 대화
t_181,기타 괴롭힘 대화
t_182,직장 내 괴롭힘 대화
t_183,직장 내 괴롭힘 대화
t_184,협박 대화
t_185,기타 괴롭힘 대화
t_186,기타 괴롭힘 대화
t_187,협박 대화
t_188,갈취 대화
t_189,협박 대화
t_190,협박 대화
t_191,기타 괴롭힘 대화
t_192,갈취 대화
t_193,기타 괴롭힘 대화
t_194,갈취 대화
t_195,기타 괴롭힘 대화
t_196,협박 대화
t_197,갈취 대화
t_198,기타 괴롭힘 대화
t_199,기타 괴롭힘 대화
t_200,직장 내 괴롭힘 대화
t_201,협박 대화
t_202,기타 괴롭힘 대화
t_203,직장 내 괴롭힘 대화
t_204,협박 대화
t_205,기타 괴롭힘 대화
t_206,직장 내 괴롭힘 대화
t_207,직장 내 괴롭힘 대화
t_208,직장 내 괴롭힘 대화
t_209,직장 내 괴롭힘 대화
t_210,협박 대화
t_211,갈취 대화
t_212,기타 괴롭힘 대화
t_213,직장 내 괴롭힘 대화
t_214,협박 대화
t_215,기타 괴롭힘 대화
t_216,기타 괴롭힘 대화
t_217,기타 괴롭힘 대화
t_218,협박 대화
t_219,협박 대화
t_220,갈취 대화
t_221,직장 내 괴롭힘 대화
t_222,갈취 대화
t_223,협박 대화
t_224,협박 대화
t_225,갈취 대화
t_226,갈취 대화
t_227,협박 대화
t_228,갈취 대화
t_229,협박 대화
t_230,직장 내 괴롭힘 대화
t_231,협박 대화
t_232,기타 괴롭힘 대화
t_233,기타 괴롭힘 대화
t_234,직장 내 괴롭힘 대화
t_235,기타 괴롭힘 대화
t_236,기타 괴롭힘 대화
t_237,갈취 대화
t_238,협박 대화
t_239,기타 괴롭힘 대화
t_240,기타 괴롭힘 대화
t_241,기타 괴롭힘 대화
t_242,기타 괴롭힘 대화
t_243,직장 내 괴롭힘 대화
t_244,기타 괴롭힘 대화
t_245,갈취 대화
t_246,직장 내 괴롭힘 대화
t_247,갈취 대화
t_248,직장 내 괴롭힘 대화
t_249,갈취 대화
t_250,협박 대화
t_251,기타 괴롭힘 대화
t_252,협박 대화
t_253,직장 내 괴롭힘 대화
t_254,직장 내 괴롭힘 대화
t_255,갈취 대화
t_256,협박 대화
t_257,직장 내 괴롭힘 대화
t_258,갈취 대화
t_259,직장 내 괴롭힘 대화
t_260,갈취 대화
t_261,협박 대화
t_262,직장 내 괴롭힘 대화
t_263,기타 괴롭힘 대화
t_264,직장 내 괴롭힘 대화
t_265,기타 괴롭힘 대화
t_266,기타 괴롭힘 대화
t_267,기타 괴롭힘 대화
t_268,기타 괴롭힘 대화
t_269,기타 괴롭힘 대화
t_270,협박 대화
t_271,기타 괴롭힘 대화
t_272,협박 대화
t_273,직장 내 괴롭힘 대화
t_274,갈취 대화
t_275,직장 내 괴롭힘 대화
t_276,직장 내 괴롭힘 대화
t_277,기타 괴롭힘 대화
t_278,직장 내 괴롭힘 대화
t_279,직장 내 괴롭힘 대화
t_280,갈취 대화
t_281,협박 대화
t_282,기타 괴롭힘 대화
t_283,직장 내 괴롭힘 대화
t_284,직장 내 괴롭힘 대화
t_285,직장 내 괴롭힘 대화
t_286,갈취 대화
t_287,직장 내 괴롭힘 대화
t_288,갈취 대화
t_289,기타 괴롭힘 대화
t_290,갈취 대화
t_291,갈취 대화
t_292,기타 괴롭힘 대화
t_293,기타 괴롭힘 대화
t_294,직장 내 괴롭힘 대화
t_295,기타 괴롭힘 대화
t_296,기타 괴롭힘 대화
t_297,기타 괴롭힘 대화
t_298,갈취 대화
t_299,협박 대화
t_300,직장 내 괴롭힘 대화
t_301,기타 괴롭힘 대화
t_302,협박 대화
t_303,직장 내 괴롭힘 대화
t_304,갈취 대화
t_305,갈취 대화
t_306,기타 괴롭힘 대화
t_307,기타 괴롭힘 대화
t_308,갈취 대화
t_309,직장 내 괴롭힘 대화
t_310,협박 대화
t_311,갈취 대화
t_312,갈취 대화
t_313,기타 괴롭힘 대화
t_314,직장 내 괴롭힘 대화
t_315,기타 괴롭힘 대화
t_316,갈취 대화
t_317,기타 괴롭힘 대화
t_318,기타 괴롭힘 대화
t_319,협박 대화
t_320,직장 내 괴롭힘 대화
t_321,협박 대화
t_322,협박 대화
t_323,갈취 대화
t_324,갈취 대화
t_325,갈취 대화
t_326,갈취 대화
t_327,갈취 대화
t_328,직장 내 괴롭힘 대화
t_329,기타 괴롭힘 대화
t_330,갈취 대화
t_331,협박 대화
t_332,협박 대화
t_333,기타 괴롭힘 대화
t_334,갈취 대화
t_335,기타 괴롭힘 대화
t_336,기타 괴롭힘 대화
t_337,갈취 대화
t_338,기타 괴롭힘 대화
t_339,기타 괴롭힘 대화
t_340,협박 대화
t_341,직장 내 괴롭힘 대화
t_342,협박 대화
t_343,협박 대화
t_344,갈취 대화
t_345,직장 내 괴롭힘 대화
t_346,기타 괴롭힘 대화
t_347,갈취 대화
t_348,협박 대화
t_349,협박 대화
t_350,협박 대화
t_351,직장 내 괴롭힘 대화
t_352,갈취 대화
t_353,갈취 대화
t_354,갈취 대화
t_355,직장 내 괴롭힘 대화
t_356,기타 괴롭힘 대화
t_357,기타 괴롭힘 대화
t_358,협박 대화
t_359,갈취 대화
t_360,기타 괴롭힘 대화
t_361,협박 대화
t_362,갈취 대화
t_363,갈취 대화
t_364,직장 내 괴롭힘 대화
t_365,기타 괴롭힘 대화
t_366,기타 괴롭힘 대화
t_367,직장 내 괴롭힘 대화
t_368,기타 괴롭힘 대화
t_369,갈취 대화
t_370,직장 내 괴롭힘 대화
t_371,직장 내 괴롭힘 대화
t_372,협박 대화
t_373,직장 내 괴롭힘 대화
t_374,직장 내 괴롭힘 대화
t_375,기타 괴롭힘 대화
t_376,갈취 대화
t_377,기타 괴롭힘 대화
t_378,갈취 대화
t_379,갈취 대화
t_380,직장 내 괴롭힘 대화
t_381,협박 대화
t_382,직장 내 괴롭힘 대화
t_383,직장 내 괴롭힘 대화
t_384,기타 괴롭힘 대화
t_385,갈취 대화
t_386,기타 괴롭힘 대화
t_387,협박 대화
t_388,협박 대화
t_389,기타 괴롭힘 대화
t_390,갈취 대화
t_391,협박 대화
t_392,갈취 대화
t_393,직장 내 괴롭힘 대화
t_394,갈취 대화
t_395,기타 괴롭힘 대화
t_396,협박 대화
t_397,갈취 대화
t_398,갈취 대화
t_399,협박 대화
t_400,기타 괴롭힘 대화
t_401,기타 괴롭힘 대화
t_402,직장 내 괴롭힘 대화
t_403,직장 내 괴롭힘 대화
t_404,기타 괴롭힘 대화
t_405,협박 대화
t_406,직장 내 괴롭힘 대화
t_407,갈취 대화
t_408,직장 내 괴롭힘 대화
t_409,갈취 대화
t_410,기타 괴롭힘 대화
t_411,기타 괴롭힘 대화
t_412,협박 대화
t_413,직장 내 괴롭힘 대화
t_414,직장 내 괴롭힘 대화
t_415,협박 대화
t_416,협박 대화
t_417,갈취 대화
t_418,갈취 대화
t_419,협박 대화
t_420,갈취 대화
t_421,협박 대화
t_422,기타 괴롭힘 대화
t_423,기타 괴롭힘 대화
t_424,기타 괴롭힘 대화
t_425,갈취 대화
t_426,갈취 대화
t_427,직장 내 괴롭힘 대화
t_428,직장 내 괴롭힘 대화
t_429,기타 괴롭힘 대화
t_430,기타 괴롭힘 대화
t_431,기타 괴롭힘 대화
t_432,갈취 대화
t_433,협박 대화
t_434,갈취 대화
t_435,기타 괴롭힘 대화
t_436,협박 대화
t_437,기타 괴롭힘 대화
t_438,기타 괴롭힘 대화
t_439,직장 내 괴롭힘 대화
t_440,기타 괴롭힘 대화
t_441,협박 대화
t_442,직장 내 괴롭힘 대화
t_443,기타 괴롭힘 대화
t_444,갈취 대화
t_445,직장 내 괴롭힘 대화
t_446,협박 대화
t_447,직장 내 괴롭힘 대화
t_448,직장 내 괴롭힘 대화
t_449,기타 괴롭힘 대화
t_450,갈취 대화
t_451,협박 대화
t_452,직장 내 괴롭힘 대화
t_453,기타 괴롭힘 대화
t_454,직장 내 괴롭힘 대화
t_455,갈취 대화
t_456,직장 내 괴롭힘 대화
t_457,기타 괴롭힘 대화
t_458,갈취 대화
t_459,갈취 대화
t_460,협박 대화
t_461,갈취 대화
t_462,협박 대화
t_463,직장 내 괴롭힘 대화
t_464,직장 내 괴롭힘 대화
t_465,기타 괴롭힘 대화
t_466,기타 괴롭힘 대화
t_467,직장 내 괴롭힘 대화
t_468,기타 괴롭힘 대화
t_469,협박 대화
t_470,직장 내 괴롭힘 대화
t_471,갈취 대화
t_472,협박 대화
t_473,기타 괴롭힘 대화
t_474,기타 괴롭힘 대화
t_475,직장 내 괴롭힘 대화
t_476,갈취 대화
t_477,갈취 대화
t_478,기타 괴롭힘 대화
t_479,직장 내 괴롭힘 대화
t_480,협박 대화
t_481,기타 괴롭힘 대화
t_482,갈취 대화
t_483,협박 대화
t_484,갈취 대화
t_485,기타 괴롭힘 대화
t_486,기타 괴롭힘 대화
t_487,기타 괴롭힘 대화
t_488,갈취 대화
t_489,협박 대화
t_490,기타 괴롭힘 대화
t_491,기타 괴롭힘 대화
t_492,협박 대화
t_493,갈취 대화
t_494,갈취 대화
t_495,직장 내 괴롭힘 대화
t_496,직장 내 괴롭힘 대화
t_497,갈취 대화
t_498,직장 내 괴롭힘 대화
t_499,협박 대화
